sku,type,name,url,url_image
47399001,Lentes Oftalmicos,Óculos de grau Hugo Boss Boss 1071/F 3 53,https://www.livo.com.br/produto/oculos-de-grau-hugo-boss-boss-1071-f-3-53-151962,
48154003,Lentes Oftalmicos,Óculos de grau Hugo Boss Boss 1085 807 51,https://www.livo.com.br/produto/oculos-de-grau-hugo-boss-boss-1085-807-51-151963,
48765003,Lentes Oftalmicos,Óculos de grau Hugo Boss Boss 1124 807 53,https://www.livo.com.br/produto/oculos-de-grau-hugo-boss-boss-1124-807-53-151965,
42MODG211,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-211-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A2.0BLK.53_image_1_2.png
45MODG211,Gafas,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-211,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A2.0BLK.53_image_1_1_1.png
42MODG212,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Rojo,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-rojo-212-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A2.0RED.53_image_1_2.png
45MODG212,Gafas,Lentes Ópticos Dorothy Gaynor Dama Rojo,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-rojo-212,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A2.0RED.53_image_1_1_1.png
42MODG213,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-213-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A3.0BLK.52_image_1_2.png
45MODG213,Gafas,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-213,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A3.0BLK.52_image_1_1_1.png
42MODG214,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Havana,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-havana-214-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A3.0DMI.52_image_1_2.png
45MODG214,Gafas,Lentes Ópticos Dorothy Gaynor Dama Havana,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-havana-214,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A3.0DMI.52_image_1_1_1.png
42MODG215,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Rojo,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-rojo-215-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A3.0RED.52_image_1_2.png
45MODG215,Gafas,Lentes Ópticos Dorothy Gaynor Dama Rojo,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-rojo-215,https://www.lentesplus.com/media/catalog/product/V/D/VDY.079A3.0RED.52_image_1_1_1.png
42MODG216,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-216-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.110A1.0BLK.56_image_1_2.png
4002,,Óculos de Sol Absurda Benedito 2002 117 71,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-benedito-2002-117-71-68870,https://OneLens.fbitsstatic.net/img/p/298163/oculos-de-sol-absurda-benedito-2002-117-71-68870/298163.jpg?w=800&h=800
266,,Lentes de Contato Impressions Cores Especiais,https://www.MinhaOticaOnline.com.br/produto/lentes-de-contato-impressions-cores-especiais-68697,https://OneLens.fbitsstatic.net/img/p/288134/lentes-de-contato-impressions-cores-especiais-68697/288134.jpg?w=800&h=800
2245,,Kit Renu 475 ml - Solução para lentes de contato,https://www.newlentes.com.br/produto/kit-renu-475-ml-solucao-para-lentes-de-contato-71248,https://Newlentes.fbitsstatic.net/img/p/885005/kit-renu-475-ml-solucao-para-lentes-de-contato-71248/885005-2.jpg?w=800&h=800
4011,,Óculos de Sol Absurda Tijuca 2039 557 98,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-tijuca-2039-557-98-68871,https://OneLens.fbitsstatic.net/img/p/298164/oculos-de-sol-absurda-tijuca-2039-557-98-68871/298164.jpg?w=800&h=800
4010,,Óculos de Sol Absurda Telmo 007 308 02,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-telmo-007-308-02-68872,https://OneLens.fbitsstatic.net/img/p/298165/oculos-de-sol-absurda-telmo-007-308-02-68872/298165.jpg?w=800&h=800
4009,,Óculos de Sol Absurda Tacuba 2037 334 97,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-tacuba-2037-334-97-68873,https://OneLens.fbitsstatic.net/img/p/298166/oculos-de-sol-absurda-tacuba-2037-334-97-68873/298166.jpg?w=800&h=800
4007,,Óculos de Sol Absurda Parque Chas 2035 808 34,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-parque-chas-2035-808-34-68874,https://OneLens.fbitsstatic.net/img/p/298167/oculos-de-sol-absurda-parque-chas-2035-808-34-68874/298167.jpg?w=800&h=800
4006,,Óculos de Sol Absurda Liberdade 2051 129 19,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-liberdade-2051-129-19-68875,https://OneLens.fbitsstatic.net/img/p/298168/oculos-de-sol-absurda-liberdade-2051-129-19-68875/298168.jpg?w=800&h=800
4005,,Óculos de Sol Absurda Karin Feller 2033 428 02,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-karin-feller-2033-428-02-68876,https://OneLens.fbitsstatic.net/img/p/298169/oculos-de-sol-absurda-karin-feller-2033-428-02-68876/298169.jpg?w=800&h=800
4004,,Óculos de Sol Absurda El Polonio 2016 632 37,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-el-polonio-2016-632-37-68877,https://OneLens.fbitsstatic.net/img/p/298170/oculos-de-sol-absurda-el-polonio-2016-632-37-68877/298170.jpg?w=800&h=800
4008,,Óculos de Sol Absurda Brooklin 2034 022 84,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-brooklin-2034-022-84-68880,https://OneLens.fbitsstatic.net/img/p/298173/oculos-de-sol-absurda-brooklin-2034-022-84-68880/298173.jpg?w=800&h=800
45623006,Lentes Oftalmicos,Óculos de grau Hugo Boss Boss 976 3 60,https://www.livo.com.br/produto/oculos-de-grau-hugo-boss-boss-976-3-60-151978,
49603001,Lentes Oftalmicos,Óculos de grau Carrera Carrera 2017T DDB 49,https://www.livo.com.br/produto/oculos-de-grau-carrera-carrera-2017t-ddb-49-151979,
4001,,Óculos de Sol Absurda Adoki Lobo 2026 801 20,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-adoki-lobo-2026-801-20-68881,https://OneLens.fbitsstatic.net/img/p/298174/oculos-de-sol-absurda-adoki-lobo-2026-801-20-68881/298174.jpg?w=800&h=800
45MODG216,Gafas,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-216,https://www.lentesplus.com/media/catalog/product/V/D/VDY.110A1.0BLK.56_image_1_1_1.png
